occupancy_date,occupied_beds,occupied_rooms,location_city,sector,program_model,service_user_count,occupancy_rate_rooms,capacity_actual_room,overnight_service_type
2022-01-01,NA,48,North York,Men,Emergency,49,100,48,Motel/Hotel Shelter
2022-01-01,NA,9,North York,Mixed Adult,Emergency,18,100,9,Motel/Hotel Shelter
2022-01-01,NA,18,North York,Women,Emergency,18,100,18,Motel/Hotel Shelter
2022-01-01,8,NA,Toronto,Mixed Adult,Emergency,8,NA,NA,Shelter
2022-01-01,NA,107,North York,Families,Emergency,294,100,107,Motel/Hotel Shelter
2022-01-01,NA,106,North York,Families,Emergency,336,100,106,Motel/Hotel Shelter
2022-01-01,NA,13,North York,Mixed Adult,Emergency,13,100,13,Motel/Hotel Shelter
2022-01-01,NA,145,Etobicoke,Mixed Adult,Emergency,149,100,145,Motel/Hotel Shelter
2022-01-01,NA,38,Toronto,Men,Emergency,38,100,38,Motel/Hotel Shelter
2022-01-01,32,NA,Toronto,Men,Emergency,32,NA,NA,Shelter
2022-01-01,14,NA,Toronto,Men,Emergency,14,NA,NA,Shelter
2022-01-01,NA,21,Toronto,Families,Emergency,57,100,21,Shelter
2022-01-01,NA,63,Toronto,Families,Emergency,214,100,63,Shelter
2022-01-01,NA,14,North York,Families,Emergency,28,100,14,Motel/Hotel Shelter
2022-01-01,NA,74,North York,Mixed Adult,Emergency,74,98.67,75,Motel/Hotel Shelter
2022-01-01,12,NA,Toronto,Men,Transitional,12,NA,NA,Shelter
2022-01-01,NA,66,Toronto,Mixed Adult,Emergency,122,100,66,Motel/Hotel Shelter
2022-01-01,NA,100,Scarborough,Women,Emergency,100,100,100,Motel/Hotel Shelter
2022-01-01,NA,43,Toronto,Families,Emergency,150,100,43,Shelter
2022-01-01,2,NA,Toronto,Families,Emergency,2,NA,NA,Shelter
2022-01-01,NA,40,Toronto,Families,Emergency,113,100,40,Motel/Hotel Shelter
2022-01-01,NA,6,Toronto,Families,Emergency,6,100,6,Motel/Hotel Shelter
2022-01-01,NA,20,Toronto,Families,Emergency,45,100,20,Motel/Hotel Shelter
2022-01-01,33,NA,Toronto,Men,Transitional,33,NA,NA,Shelter
2022-01-01,NA,59,Vaughan,Mixed Adult,Emergency,63,88.06,67,Motel/Hotel Shelter
